ANO,MES,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO_TRATOR,CAMINHONETE,CAMIONETA,CHASSI_PLATAF,CICLOMOTOR,MICRO_ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,OUTROS,QUADRICICLO,REBOQUE,SEMI_REBOQUE,SIDE_CAR,TRATOR_ESTEI,TRATOR_RODAS,TRICICLO,UTILITARIO
2010,6,JIJOCA DE JERICOACOARA,2516,450,0,47,0,337,92,0,0,12,1397,143,5,0,0,7,0,0,0,0,0,26
2010,6,JUAZEIRO DO NORTE,57632,18571,0,1424,95,3774,738,1,107,150,27867,3801,191,2,0,573,103,19,0,0,18,198
2010,6,JUCAS,2915,338,0,66,4,161,18,0,5,6,2099,190,18,0,0,3,3,0,0,0,0,4
2010,6,LAVRAS DA MANGABEIRA,2795,578,0,83,1,147,26,0,1,15,1815,107,14,0,0,5,1,0,0,0,0,2
2010,6,LIMOEIRO DO NORTE,16562,3618,0,546,50,729,146,0,13,23,8322,2821,102,1,0,109,48,4,0,0,0,30
2010,6,MADALENA,1758,308,0,74,1,68,11,0,0,5,1223,54,11,0,0,3,0,0,0,0,0,0
2010,6,MARACANAU,31135,15751,0,1146,168,1415,758,1,23,171,10548,210,252,0,0,375,227,0,0,0,6,84
2010,6,MARANGUAPE,11055,4693,0,474,28,560,314,5,3,59,4525,75,131,0,0,134,29,2,0,0,1,22
2010,6,MARCO,3424,561,0,181,6,227,39,0,0,5,2109,250,14,0,0,15,5,0,0,0,4,8
2010,6,MARTINOPOLE,817,97,0,22,1,42,15,0,0,6,539,93,1,0,0,0,1,0,0,0,0,0
2010,6,MASSAPE,4147,758,0,70,1,126,33,0,0,8,2694,402,43,0,0,4,3,0,0,0,0,5
2010,6,MAURITI,3964,834,0,75,1,430,42,0,0,49,2297,179,27,0,0,22,2,0,0,0,2,4
2010,6,MERUOCA,1478,184,0,28,0,101,13,0,0,6,1004,133,6,0,0,1,0,0,0,0,0,2
2010,6,MILAGRES,2832,847,0,79,1,224,29,0,0,33,1399,173,13,0,0,27,2,0,0,0,0,5
2010,6,MILHA,2495,319,0,57,1,103,17,0,0,3,1885,93,12,0,0,4,1,0,0,0,0,0
2010,6,MIRAIMA,983,80,0,26,1,69,1,0,0,2,762,36,2,0,0,0,0,0,0,0,0,4
2010,6,MISSAO VELHA,3957,831,0,132,12,413,62,0,1,54,2182,120,8,0,0,129,10,0,0,0,0,3
2010,6,MOMBACA,5684,949,0,196,1,436,85,0,0,9,3588,395,4,0,0,13,1,0,0,0,0,7
2010,6,MONSENHOR TABOSA,2188,322,0,55,0,124,21,0,0,4,1524,134,0,0,0,2,0,0,0,0,0,2
